abbreviation,year,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score
PA,2020,413.19,8.54,0.87
RI,2020,421.03,4.46,0.45
SC,2020,379.42,-6.85,-0.7
SD,2020,409.17,3.14,0.32
TN,2020,411.08,-9.12,-0.93
TX,2020,383.94,-15.34,-1.56
UT,2020,414.44,17.52,1.79
VA,2020,399.85,14.51,1.48
VT,2020,437.79,5.5,0.56
WA,2020,421.64,13.21,1.35
WI,2020,413.23,8.24,0.84
WV,2020,437.24,-14.8,-1.51
WY,2020,426.83,-13.97,-1.42
AK,2021,171.64,74.69,0.7
AL,2021,136.08,-59.47,-0.56
AR,2021,161.52,-127.2,-1.2
AZ,2021,146.44,-133.36,-1.26
CA,2021,126.37,67.89,0.64
CO,2021,163.5,-114.07,-1.08
CT,2021,180.65,87.24,0.82
DE,2021,201.63,-89.65,-0.85
FL,2021,113.38,-75.38,-0.71
GA,2021,135.4,-65.76,-0.62
HI,2021,135.09,13.55,0.13
IA,2021,182.3,128.56,1.21
ID,2021,170.41,-127.55,-1.2
IL,2021,147.06,-100.05,-0.94
IN,2021,166.09,-62.15,-0.59
KS,2021,135.57,34.18,0.32
KY,2021,150.8,-104.87,-0.99
LA,2021,120.35,69.12,0.65
MA,2021,203.21,-56.58,-0.53
MD,2021,158.08,80.91,0.76
ME,2021,204.39,49.63,0.47
MI,2021,145.1,278.65,2.63
MN,2021,164.67,268.96,2.54
MO,2021,158.2,-39.81,-0.38
MS,2021,121.13,-21.54,-0.2
MT,2021,158.87,111.19,1.05
NC,2021,127.11,-3.48,-0.03
ND,2021,201.44,-64.38,-0.61
NE,2021,160.57,-57.43,-0.54
NH,2021,221.17,-4.65,-0.04
NJ,2021,183.07,10.69,0.1
NM,2021,137.69,44.76,0.42
NV,2021,166.24,-130.63,-1.23
NY,2021,188.28,232.78,2.2
OH,2021,180.81,-71.78,-0.68
OK,2021,136.97,-42.13,-0.4
OR,2021,189.71,164.27,1.55
PA,2021,181.4,182.14,1.72
RI,2021,188.85,-108.25,-1.02
SC,2021,120.24,-29.78,-0.28
SD,2021,181.36,-80.53,-0.76
TN,2021,148.95,-26.01,-0.25
TX,2021,128.59,-89,-0.84
UT,2021,138.08,-59.6,-0.56
VA,2021,141.92,-19.37,-0.18
VT,2021,228.5,169.99,1.6
WA,2021,185.66,38.03,0.36
WI,2021,220.71,-45.81,-0.43
WV,2021,199.52,-95.2,-0.9
WY,2021,156.7,-55.25,-0.52
AK,2022,170.83,108.78,1.06
AL,2022,138.29,-14.85,-0.14
AR,2022,178.4,-139.81,-1.36
AZ,2022,150.26,-147.34,-1.43
CA,2022,98.8,106.8,1.04
CO,2022,184.75,-125.98,-1.23
CT,2022,156.37,130.81,1.27
DE,2022,177.99,-16.37,-0.16
FL,2022,103.88,-63.44,-0.62
GA,2022,134.84,-55.53,-0.54
HI,2022,95.7,52.22,0.51
IA,2022,176.97,171.49,1.67
ID,2022,176.71,-127.06,-1.24
IL,2022,134.07,-66.43,-0.65
IN,2022,156.04,-49.62,-0.48
KS,2022,136.94,15.41,0.15
KY,2022,173.65,-123.98,-1.21
LA,2022,115.96,81.6,0.79
MA,2022,186.53,-32.93,-0.32
MD,2022,148.95,-53.43,-0.52
ME,2022,240.85,47.76,0.46
MI,2022,166.84,-166.39,-1.62
MN,2022,158.54,-150.01,-1.46
MO,2022,172.1,-50.31,-0.49
MS,2022,102.29,-3.06,-0.03
MT,2022,182.61,125.03,1.22
NC,2022,112.21,1.52,0.01
ND,2022,148.4,0.86,0.01
NE,2022,165.57,-44.77,-0.44
NH,2022,236.32,43.69,0.42
NJ,2022,133.69,69.66,0.68
NM,2022,155.01,20.51,0.2
NV,2022,179.07,-137.51,-1.34
NY,2022,163.26,149.85,1.46
OH,2022,148.9,238.61,2.32
OK,2022,132.46,-27.13,-0.26
OR,2022,237.87,141.63,1.38
PA,2022,183.25,218.63,2.13
RI,2022,193.68,-123.18,-1.2
SC,2022,97.36,-4.84,-0.05
SD,2022,150.13,-33.32,-0.32
TN,2022,164.72,-32.87,-0.32
TX,2022,104.72,-63.6,-0.62
UT,2022,149.14,-60.43,-0.59
VA,2022,120.69,9.49,0.09
VT,2022,242.99,157.77,1.53
WA,2022,195.16,106.47,1.04
WI,2022,147.44,37.18,0.36
WV,2022,237.81,-134.79,-1.31
WY,2022,175.2,-64.67,-0.63
AK,2023,187.57,106.55,1.03
AL,2023,146.72,-14.11,-0.14
AR,2023,196.98,-158.93,-1.53
AZ,2023,158.92,-113.18,-1.09
CA,2023,115.64,102.61,0.99
CO,2023,209.36,-144.45,-1.39
CT,2023,175.7,131.31,1.27
DE,2023,196.85,-35.28,-0.34
FL,2023,101.84,-48.22,-0.47
GA,2023,143.51,-59.92,-0.58
HI,2023,93.23,54.11,0.52
IA,2023,195.89,116.87,1.13
ID,2023,198.49,-126.53,-1.22
IL,2023,135.25,-55.8,-0.54
IN,2023,158.41,-47.68,-0.46
KS,2023,146.41,61.67,0.6
KY,2023,180.12,-121.26,-1.17
LA,2023,116.05,90.59,0.87
MA,2023,212.8,-47.51,-0.46
MD,2023,157.22,-60.09,-0.58
ME,2023,278.96,-38.81,-0.37
MI,2023,159.26,-88.52,-0.85
MN,2023,165.63,-162.68,-1.57
MO,2023,188.35,-45.33,-0.44
MS,2023,98.86,-0.16,-0
MT,2023,201.04,135.86,1.31
NC,2023,114.37,-0.26,-0
ND,2023,156.29,13.45,0.13
NE,2023,176.71,-11.43,-0.11
NH,2023,259.94,56.5,0.55
NJ,2023,147.23,59.85,0.58
NM,2023,168.23,30.31,0.29
NV,2023,210.73,-167.48,-1.62
NY,2023,179.65,196.41,1.9
OH,2023,162.28,79.23,0.76
OK,2023,140.12,-20.71,-0.2
OR,2023,268.22,275.67,2.66
PA,2023,193.95,228.73,2.21
RI,2023,217.41,-140,-1.35
SC,2023,93.42,13.24,0.13
SD,2023,157.97,-41.84,-0.4
TN,2023,177.78,-29.29,-0.28
TX,2023,102.81,-57.23,-0.55
UT,2023,159.52,-62.19,-0.6
VA,2023,121.47,16.81,0.16
VT,2023,286.66,151.39,1.46
WA,2023,244.79,49.2,0.47
WI,2023,157.36,43.81,0.42
WV,2023,257.33,-146.02,-1.41
WY,2023,192.89,-76.92,-0.74
AK,2024,205.81,91.76,0.8
AL,2024,155.25,-21.13,-0.19
AR,2024,209.14,-169.97,-1.49
AZ,2024,168.37,-122.18,-1.07
CA,2024,136.63,92.87,0.81
CO,2024,218.9,-150.41,-1.32
CT,2024,201.38,123.35,1.08
DE,2024,216.88,-45.98,-0.4
FL,2024,112.39,-58.43,-0.51
GA,2024,155.21,-63.49,-0.56
HI,2024,112.51,50.9,0.45
IA,2024,240.44,165.52,1.45
ID,2024,209.63,-147.2,-1.29
IL,2024,162.4,-72.51,-0.64
IN,2024,164.88,-54.59,-0.48
KS,2024,160,102.07,0.89
KY,2024,195.35,-134.37,-1.18
LA,2024,122.94,91.6,0.8
MA,2024,235.8,-65.14,-0.57
MD,2024,175.46,-71.17,-0.62
ME,2024,272.94,-91.83,-0.8
MI,2024,183.05,-148.31,-1.3
MN,2024,199.82,153.68,1.35
MO,2024,206.82,-34.12,-0.3
MS,2024,109.22,-17.62,-0.15
MT,2024,205.05,128.88,1.13
NC,2024,127.88,4.82,0.04
ND,2024,219.58,-32.05,-0.28
NE,2024,195.86,-14.42,-0.13
NH,2024,268.7,4.45,0.04
NJ,2024,174.5,69.3,0.61
NM,2024,176.24,24.03,0.21
NV,2024,227.84,-184.4,-1.62
NY,2024,203.54,232.68,2.04
OH,2024,170.71,83.06,0.73
OK,2024,154.48,-25.47,-0.22
OR,2024,274.34,340.49,2.98
PA,2024,218.13,196.12,1.72
RI,2024,235.66,-133.43,-1.17
SC,2024,108.24,6.56,0.06
SD,2024,198.93,-62.98,-0.55
TN,2024,188.87,-35.69,-0.31
TX,2024,114.02,-60.52,-0.53
UT,2024,160.33,-53.84,-0.47
VA,2024,135.04,22.4,0.2
VT,2024,304.09,162.88,1.43
WA,2024,271.44,4.36,0.04
WI,2024,211.57,66.63,0.58
WV,2024,270.45,-119.61,-1.05
WY,2024,202.91,-141.02,-1.24
