state,abbreviation,year,lat,lng,population,raw_need_score,need_index,ami,smi,mde_adult,mde_youth,suicide_rate,substance_use_disorder,public_mh_spending_per_capita,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score,medicaid_share_of_public_mh,provider_density_per_100k,medicaid_expansion_status,medicaid_expansion_label,financing_status
Louisiana,LA,2017,31.2,-91.9,4657757,-1.2015,36.4,24.06,5.78,7.74,15.35,15.6,17.47,339.43,347.53,-8.1,-0.66,43.7,182.9,1,Expansion,Modeled fallback
Maine,ME,2017,45.3,-69.4,1395231,3.1315,83.2,26.68,6.28,11.47,20.31,18.5,22.38,387.18,376.54,10.64,0.87,52.5,224.4,0,Non-expansion,Modeled fallback
Maryland,MD,2017,39.1,-76.8,6177224,-1.4432,33.8,22.7,5.14,8.21,18.25,9.3,15.83,357.51,345.92,11.59,0.95,48.3,210.9,1,Expansion,Modeled fallback
Massachusetts,MA,2017,42.2,-71.5,7001399,-0.5213,43.7,24.89,5.88,8.79,15.95,8.6,19.91,365.52,352.05,13.47,1.1,50.3,433.7,1,Expansion,Modeled fallback
Michigan,MI,2017,43.3,-84.5,9986857,-0.9726,38.9,23.57,5.18,8.54,16.65,14.9,17.43,350.52,349.08,1.44,0.12,46.7,201.5,1,Expansion,Modeled fallback
Minnesota,MN,2017,45.7,-93.9,5737915,-0.905,39.6,22.55,5.76,8.41,18.07,13.8,15.64,363.02,349.51,13.51,1.11,49.5,235.4,1,Expansion,Modeled fallback
Mississippi,MS,2017,32.7,-89.7,2939690,-2.6817,20.4,20.45,4.76,6.83,16,15.5,16.39,312.98,337.61,-24.63,-2.02,41.7,118.9,0,Non-expansion,Modeled fallback
Missouri,MO,2017,38.5,-92.3,6196911,1.3874,64.3,25.67,6.58,9.04,19.17,18,19.39,361.63,364.83,-3.2,-0.26,47.5,198,0,Non-expansion,Modeled fallback
Montana,MT,2017,47,-109.6,1084225,2.3024,74.2,25.59,6.87,9.77,17.54,26.6,22.18,379.99,370.96,9.03,0.74,49.4,259,1,Expansion,Modeled fallback
Nebraska,NE,2017,41.5,-99.9,1961504,0.7286,57.2,24.09,6.85,10.21,18.33,14.5,15.97,363.96,360.42,3.54,0.29,49.7,207.9,0,Non-expansion,Modeled fallback
